id,name,canton_id
9,CIRCUITO JUDICIAL DE CARTAGO,301
27,CIRCUITO JUDICIAL DE CARTAGO (ALVARADO),306
30,CIRCUITO JUDICIAL DE CARTAGO (JIMÉNEZ),304
24,CIRCUITO JUDICIAL DE CARTAGO (LA UNIÓN),303
29,CIRCUITO JUDICIAL DE CARTAGO (PARAÍSO),302
28,CIRCUITO JUDICIAL DE CARTAGO (TARRAZÚ, DOTA Y LEÓN CORTÉS),105
5,CIRCUITO JUDICIAL DE HEREDIA,401
74,CIRCUITO JUDICIAL DE HEREDIA (SAN ISIDRO),406
44,CIRCUITO JUDICIAL DE HEREDIA (SAN JOAQUÍN),408
75,CIRCUITO JUDICIAL DE HEREDIA (SAN RAFAEL),405
73,CIRCUITO JUDICIAL DE HEREDIA (SANTO DOMINGO),403
22,CIRCUITO JUDICIAL DE HEREDIA (SARAPIQUÍ),410
6,CIRCUITO JUDICIAL DE PUNTARENAS,601
59,CIRCUITO JUDICIAL DE PUNTARENAS (CÓBANO),601
69,CIRCUITO JUDICIAL DE PUNTARENAS (ESPARZA),602
42,CIRCUITO JUDICIAL DE PUNTARENAS (GARABITO),611
70,CIRCUITO JUDICIAL DE PUNTARENAS (MONTES DE ORO, MIRAMAR),604
60,CIRCUITO JUDICIAL DE PUNTARENAS (MONTEVERDE),601
71,CIRCUITO JUDICIAL DE PUNTARENAS (PARRITA),609
43,CIRCUITO JUDICIAL DE PUNTARENAS (QUEPOS),606
18,CIRCUITO JUDICIAL DE TURRIALBA,305
47,I CIRCUITO DE LA ZONA ATLÁNTICA (BATÁN-MATINA),705
46,I CIRCUITO DE LA ZONA ATLÁNTICA (BRIBRÍ),704
10,I CIRCUITO DE LA ZONA ATLANTICA (LIMON),701
3,I CIRCUITO JUDICIAL DE ALAJUELA,201
14,I CIRCUITO JUDICIAL DE ALAJUELA (ATENAS),205
32,I CIRCUITO JUDICIAL DE ALAJUELA (OROTINA),209
33,I CIRCUITO JUDICIAL DE ALAJUELA (PÓAS),208
31,I CIRCUITO JUDICIAL DE ALAJUELA (SAN MATEO),204
54,I CIRCUITO JUDICIAL DE GUANACASTE (ABANGARES),507
51,I CIRCUITO JUDICIAL DE GUANACASTE (BAGACES),504
50,I CIRCUITO JUDICIAL DE GUANACASTE (CAÑAS),506
52,I CIRCUITO JUDICIAL DE GUANACASTE (LA CRUZ),510
7,I CIRCUITO JUDICIAL DE GUANACASTE (LIBERIA),501
53,I CIRCUITO JUDICIAL DE GUANACASTE (TILARAN),508
49,I CIRCUITO JUDICIAL DE LA ZONA SUR (BUENOS AIRES),603
8,I CIRCUITO JUDICIAL DE LA ZONA SUR (PEREZ ZELEDON),119
1,I CIRCUITO JUDICIAL DE SAN JOSE,101
45,I CIRCUITO JUDICIAL DE SAN JOSÉ (PURISCAL),104
61,I CIRCUITO JUDICIAL DE SAN JOSÉ (TURRUBARES),116
58,II CIRCUITO DE LA ZONA ATLÁNTICA (GUÁCIMO),706
11,II CIRCUITO DE LA ZONA ATLANTICA (POCOCI),702
48,II CIRCUITO DE LA ZONA ATLÁNTICA (SIQUIRRES),703
40,II CIRCUITO JUDICIAL DE ALAJUELA (GUATUSO),215
41,II CIRCUITO JUDICIAL DE ALAJUELA (LA FORTUNA),210
39,II CIRCUITO JUDICIAL DE ALAJUELA (LOS CHILES),214
4,II CIRCUITO JUDICIAL DE ALAJUELA (SAN CARLOS),210
38,II CIRCUITO JUDICIAL DE ALAJUELA (UPALA),213
56,II CIRCUITO JUDICIAL DE GUANACASTE (CARILLO),505
72,II CIRCUITO JUDICIAL DE GUANACASTE (HOJANCHA),511
55,II CIRCUITO JUDICIAL DE GUANACASTE (JICARAL),601
57,II CIRCUITO JUDICIAL DE GUANACASTE (NANDAYURE),509
15,II CIRCUITO JUDICIAL DE GUANACASTE (NICOYA),502
13,II CIRCUITO JUDICIAL DE GUANACASTE (SANTA CRUZ),503
16,II CIRCUITO JUDICIAL DE LA ZONA SUR (CORREDORES),610
26,II CIRCUITO JUDICIAL DE LA ZONA SUR (COTO BRUS),608
19,II CIRCUITO JUDICIAL DE LA ZONA SUR (GOLFITO),607
21,II CIRCUITO JUDICIAL DE LA ZONA SUR (GOLFITO) (PUERTO JIMÉNEZ),607
25,II CIRCUITO JUDICIAL DE LA ZONA SUR (OSA),605
2,II CIRCUITO JUDICIAL DE SAN JOSE (GOICOECHEA),108
20,III CIRCUITO JUDICIAL DE ALAJUELA (GRECIA),203
36,III CIRCUITO JUDICIAL DE ALAJUELA (NARANJO),206
35,III CIRCUITO JUDICIAL DE ALAJUELA (PALMARES),207
12,III CIRCUITO JUDICIAL DE ALAJUELA (SAN RAMON),202
34,III CIRCUITO JUDICIAL DE ALAJUELA (SARCHÍ),212
37,III CIRCUITO JUDICIAL DE ALAJUELA (ZARCERO),211
65,III CIRCUITO JUDICIAL DE SAN JOSÉ (ACOSTA),112
64,III CIRCUITO JUDICIAL DE SAN JOSÉ (ASERRÍ),106
17,III CIRCUITO JUDICIAL DE SAN JOSÉ (DESAMPARADOS),103
67,III CIRCUITO JUDICIAL DE SAN JOSÉ (ESCAZÚ),102
62,III CIRCUITO JUDICIAL DE SAN JOSÉ (HATILLO, SAN SEBASTIÁN Y ALAJUELITA),101
63,III CIRCUITO JUDICIAL DE SAN JOSÉ (MORA),107
66,III CIRCUITO JUDICIAL DE SAN JOSÉ (PAVAS),101
68,III CIRCUITO JUDICIAL DE SAN JOSÉ (SANTA ANA),109